Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
263	880	BI0533	1	2003-12-10	Sjukdomslära	Institutionen för husdjurens miljö och hälsa	hmh
264	880	BI0534	1	2003-12-10	Sjukvårdslära	Institutionen för husdjurens miljö och hälsa	hmh
265	880	BI0535	1	2003-12-10	Sjukvårdslära och personlig färdighetsträning	Institutionen för husdjurens miljö och hälsa	hmh
266	480	BI0536	1	2004-04-02	Allmän och molekylär genetik	Institutionen för växtbiologi	vbsg
267	480	BI0537	1	2004-04-02	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
268	550	BI0538	1	2004-05-07	Kvalitetsledningssystem	Institutionen för livsmedelsvetenskap	lmv
269	550	BI0539	1	2004-04-07	Livsmedelsmikrobiologi	Institutionen för livsmedelsvetenskap	lmv
270	360	BI0540	1	2004-05-26	Energisystem i biogeovetenskapligt perspektiv	Institutionen för skoglig marklära	sml
271	480	BI0541	1	2004-05-26	Växtbiologi	Institutionen för växtbiologi	vbsg
272	712	BI0542	1	2004-04-02	Djurfysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
273	610	BI0543	1	2004-03-18	Biologiska system i landskapet	Institutionen för landskapsplanering, Alnarp	lpal
274	637	BI0544	1	2004-03-18	Vegetationsbyggnad och växtkännedom 2	Landskapsutveckling	ltv
275	670	BI0545	1	2003-12-10	Introduktionskurs - husdjur	Institutionen för husdjursgenetik	hgen
276	460	BI0546	1	2004-04-01	Biokemi, mikrobiologi och cellbiologi	Institutionen för mikrobiologi	mikrob
277	633	BI0547	1	2004-08-17	Odling som pedagogiskt verktyg	Hortikultur	ltv
278	637	BI0548	1	2004-08-30	Mark-växtsystem för landskapsingenjörer	Landskapsutveckling	ltv
279	633	BI0549	1	2004-05-26	Trädgårdsprodukter - nutida och framtida användningsområden	Hortikultur	ltv
280	660	BI0550	1	2004-10-06	Genteknik på växter - orienteringskurs för biologilärare	Institutionen för växtvetenskap	unk
281	660	BI0551	1	2004-10-06	Introduktion till trädgårdsväxternas växtskydd	Institutionen för växtvetenskap	unk
282	637	BI0552	1	2004-09-27	Biologiska och naturgeografiska system	Landskapsutveckling	ltv
283	560	BI0553	1	2004-10-06	Miljöfrågeställningar vid hortikulturell produktion	Institutionen för landskaps- och trädgårdsteknik	lt
284	660	BI0554	1	2004-10-06	Ekologi	Institutionen för växtvetenskap	unk
285	715	BI0555	1	2004-10-13	Försöksdjursvetenskap	Institutionen för kliniska vetenskaper	kv
286	712	BI0556	1	2004-10-13	Husdjurens anatomi och fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
287	251	BI0557	1	2004-10-28	Inventering av fisk- och viltpopulationer	Institutionen för vilt, fisk och miljö	vfm
288	251	BI0558	1	2004-10-28	Skötsel av vilt- och fiskbestånd	Institutionen för vilt, fisk och miljö	vfm
289	251	BI0559	1	2004-10-28	Samhällsaspekter på nyttjandet av vilt- och fiskresursen	Institutionen för vilt, fisk och miljö	vfm
290	250	BI0560	1	2004-10-28	Tillämpad populationsekologi	Institutionen för skoglig zooekologi	unk
291	650	BI0561	1	2004-10-13	Näringsfysiologi och fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
292	635	BI0562	1	2004-10-12	Hästhållning i lantbruket - utfodring, avel, inhysning och produktion	Lantbrukets byggnadsteknik	ltv
293	638	BI0563	1	2004-10-12	Marknadssegmenterade livsmedel	Institutionen för människa och samhälle	ltv
294	251	BI0564	1	2004-10-28	Bevarandebiologi	Institutionen för vilt, fisk och miljö	vfm
295	633	BI0565	1	2004-10-15	Odling i trädgårdsföretag	Hortikultur	ltv
296	633	BI0566	1	2004-10-15	Postharvest - kvalitet och hållbarhet efter skörd	Hortikultur	ltv
297	633	BI0567	1	2004-10-15	Produktionssystem i trädgårdsföretag	Hortikultur	ltv
298	631	BI0568	1	2004-10-15	Tillämpad växtbioteknik	Institutionen för växtförädling och bioteknik	unk
299	550	BI0569	1	2004-10-22	Näringslära	Institutionen för livsmedelsvetenskap	lmv
300	460	BI0570	1	2004-10-13	Mikrobiologi	Institutionen för mikrobiologi	mikrob
301	415	BI0571	1	2004-11-02	Ekologi för ekonomer	Institutionen för ekologi	ekol
302	360	BI0572	1	2004-11-02	Tillämpad biogeokemi - kretslopp och klimatförändringar	Institutionen för skoglig marklära	sml
303	480	BI0573	1	2004-11-02	Cellbiologi	Institutionen för växtbiologi	vbsg
304	713	BI0574	1	2004-11-29	Farmakologi och toxikologi	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
305	500	BI0576	1	2004-12-14	Växtproduktion	Institutionen för växtproduktionsekologi	vpe
306	634	BI0577	1	2005-03-18	Bachelorprojekt i trädgårdsvetenskap	Agrosystem	ltv
307	670	BI0578	1	2005-03-23	Bioinformatik	Institutionen för husdjursgenetik	hgen
308	712	BI0579	1	2005-03-17	Grundkurs i ridkonst	Institutionen för anatomi, fysiologi och biokemi	afb
309	712	BI0580	1	2005-03-17	Grundkurs i travsport	Institutionen för anatomi, fysiologi och biokemi	afb
310	712	BI0581	1	2005-03-17	Hantering och sadeltämjning av unghäst	Institutionen för anatomi, fysiologi och biokemi	afb
311	712	BI0582	1	2005-03-17	Hästens biologi I	Institutionen för anatomi, fysiologi och biokemi	afb
312	712	BI0583	1	2005-03-17	Hästens biologi II	Institutionen för anatomi, fysiologi och biokemi	afb
313	712	BI0584	1	2005-03-17	Introduktion hippologi	Institutionen för anatomi, fysiologi och biokemi	afb
314	712	BI0585	1	2005-03-17	Körning	Institutionen för anatomi, fysiologi och biokemi	afb
315	712	BI0586	1	2005-03-17	Skolridning och -körning	Institutionen för anatomi, fysiologi och biokemi	afb
316	712	BI0587	1	2005-03-17	Grundkurs i galoppsport	Institutionen för anatomi, fysiologi och biokemi	afb
317	712	BI0588	1	2005-03-17	Dressyr 1	Institutionen för anatomi, fysiologi och biokemi	afb
318	712	BI0589	1	2005-03-17	Dressyr 2	Institutionen för anatomi, fysiologi och biokemi	afb
319	712	BI0590	1	2005-03-17	Fortsättning hästavel och stuteri	Institutionen för anatomi, fysiologi och biokemi	afb
320	712	BI0591	1	2005-03-17	Fortsättning körning	Institutionen för anatomi, fysiologi och biokemi	afb
321	712	BI0592	1	2005-03-17	Fortsättning ridkonst	Institutionen för anatomi, fysiologi och biokemi	afb
322	712	BI0593	1	2005-03-17	Fortsättning travsport	Institutionen för anatomi, fysiologi och biokemi	afb
323	712	BI0594	1	2005-03-17	Hippologiskt examensarbete	Institutionen för anatomi, fysiologi och biokemi	afb
324	712	BI0595	1	2005-03-17	Hippologiskt fördjupningsarbete	Institutionen för anatomi, fysiologi och biokemi	afb
325	712	BI0596	1	2005-03-17	Hoppning 1	Institutionen för anatomi, fysiologi och biokemi	afb
326	712	BI0597	1	2005-03-17	Hoppning 2	Institutionen för anatomi, fysiologi och biokemi	afb
327	712	BI0598	1	2005-03-17	Hästavel och stuteri	Institutionen för anatomi, fysiologi och biokemi	afb
328	712	BI0599	1	2005-03-17	Hästens biologi III	Institutionen för anatomi, fysiologi och biokemi	afb
329	712	BI0600	1	2005-03-17	Monté	Institutionen för anatomi, fysiologi och biokemi	afb
330	712	BI0601	1	2005-03-17	Projektkurs hästens biologi och handhavande	Institutionen för anatomi, fysiologi och biokemi	afb
331	712	BI0602	1	2005-03-17	Travhästens biologi	Institutionen för anatomi, fysiologi och biokemi	afb
332	712	BI0603	1	2005-03-17	Träningsverksamhet	Institutionen för anatomi, fysiologi och biokemi	afb
333	712	BI0604	1	2005-03-17	Unghästridning 1	Institutionen för anatomi, fysiologi och biokemi	afb
334	712	BI0605	1	2005-03-17	Unghästridning 2	Institutionen för anatomi, fysiologi och biokemi	afb
335	632	BI0606	1	2005-05-18	Nordisk vinodling	Institutionen för växtskyddsbiologi	ltv
336	632	BI0607	1	2005-05-18	Vinodlingsexkursion	Institutionen för växtskyddsbiologi	ltv
337	241	BI0608	1	2005-06-22	Biologi och markvetenskap	Institutionen för skogens ekologi och skötsel	seksko
338	241	BI0609	1	2005-06-22	Fältkurs i biologi och markvetenskap	Institutionen för skogens ekologi och skötsel	seksko
339	880	BI0610	1	2005-06-01	Djurhållning	Institutionen för husdjurens miljö och hälsa	hmh
340	880	BI0611	1	2005-12-07	Biokemi	Institutionen för husdjurens miljö och hälsa	hmh
341	880	BI0612	1	2005-06-01	Djurskydd, välfärd och etik	Institutionen för husdjurens miljö och hälsa	hmh
342	880	BI0613	1	2005-06-01	Etologi	Institutionen för husdjurens miljö och hälsa	hmh
343	880	BI0614	1	2005-06-01	Evolutionsbiologi	Institutionen för husdjurens miljö och hälsa	hmh
344	660	BI0617	1	2005-09-28	Strategier för gödsling i potatis och frilandsgrönsaker	Institutionen för växtvetenskap	unk
345	633	BI0618	1	2005-09-14	Växtplatsen	Hortikultur	ltv
346	634	BI0619	1	2005-09-14	Miljöfrågeställningar vid växtproduktion	Agrosystem	ltv
347	632	BI0620	1	2005-10-13	Bekämpningsstrategier för skadegörare och ogräs	Institutionen för växtskyddsbiologi	ltv
348	633	BI0621	1	2005-10-13	Hortikulturell produktionsfysiologi	Hortikultur	ltv
349	633	BI0622	1	2005-10-13	Tillämpad produktionsfysiologi av prydnadsväxter	Hortikultur	ltv
350	633	BI0623	1	2005-10-13	Tillämpad produktionsfysiologi av ätbara grödor	Hortikultur	ltv
351	650	BI0624	1	2005-09-29	Tropiska husdjurssystem	Institutionen för husdjurens utfodring och vård	huv
352	882	BI0625	1	2005-09-29	Renen i samspel med människa och miljö	Enheten för renskötsel	unk
353	650	BI0626	1	2005-09-29	Djurhållning i ekologiskt lantbruk	Institutionen för husdjurens utfodring och vård	huv
354	632	BI0627	1	2005-10-13	Miljöanalyser och miljöbeslut i jordbruks- och trädgårdsproduktion	Institutionen för växtskyddsbiologi	ltv
355	632	BI0628	1	2005-10-13	Miljöanpassad produktion inom jordbruk och trädgård	Institutionen för växtskyddsbiologi	ltv
356	634	BI0629	1	2005-10-13	Miljöeffekter i jordbruks- och trädgårdsproduktion	Agrosystem	ltv
357	632	BI0630	1	2005-09-14	Växtskyddsdiagnostik för trädgårdskulturer	Institutionen för växtskyddsbiologi	ltv
358	633	BI0631	1	2005-10-13	Växtens miljö	Hortikultur	ltv
359	260	BI0632	1	2005-09-01	Miljöanalys B	Institutionen för skoglig resurshushållning	srh
360	260	BI0633	1	2005-09-01	Miljöanalysens grunder	Institutionen för skoglig resurshushållning	srh
361	650	BI0634	1	2005-09-29	Laktationsbiologi	Institutionen för husdjurens utfodring och vård	huv
362	650	BI0635	1	2005-09-29	Praktik - Lantbrukets husdjur	Institutionen för husdjurens utfodring och vård	huv
363	670	BI0636	1	2005-10-18	Genomanalys	Institutionen för husdjursgenetik	hgen
364	480	BI0637	1	2005-10-18	Genreglering i eukaryota celler	Institutionen för växtbiologi	vbsg
365	415	BI0639	1	2005-10-26	Skogliga miljömål	Institutionen för ekologi	ekol
366	460	BI0640	1	2005-10-18	Industriell mikrobiologi	Institutionen för mikrobiologi	mikrob
367	320	BI0641	1	2005-10-26	Skogliga miljömål	Institutionen för naturvårdsbiologi	nvb
368	320	BI0642	1	2005-10-26	Botanik och mykologi: släktskap och inventeringsmetodik	Institutionen för naturvårdsbiologi	nvb
369	650	BI0643	1	2005-09-29	Automatiserade skötselsystem - Nötkreatur	Institutionen för husdjurens utfodring och vård	huv
370	650	BI0644	1	2005-09-29	Djur på bete	Institutionen för husdjurens utfodring och vård	huv
371	650	BI0645	1	2005-09-29	Lantbrukets husdjur - Skötsel och beteende	Institutionen för husdjurens utfodring och vård	huv
372	670	BI0646	1	2005-09-28	Hund - avel, utfodring och hälsa - översiktskurs på distans	Institutionen för husdjursgenetik	hgen
373	880	BI0647	1	2005-12-07	Individuell kursplan djursjukvård	Institutionen för husdjurens miljö och hälsa	hmh
374	635	BI0648	1	2005-11-03	Fårproduktion och företagande	Lantbrukets byggnadsteknik	ltv
375	251	BI0649	1	2005-11-07	Akvatiska ekosystem	Institutionen för vilt, fisk och miljö	vfm
376	480	BI0650	1	2005-11-23	Växtförädling	Institutionen för växtbiologi	vbsg
377	880	BI0651	1	2005-12-07	Djurs systematik, form och funktion	Institutionen för husdjurens miljö och hälsa	hmh
378	880	BI0652	1	2005-12-07	Mikrobiologi och parasitologi	Institutionen för husdjurens miljö och hälsa	hmh
379	330	BI0653	1	2006-02-28	Biologi och bioteknik för skogliga produktionssystem	Institutionen för skoglig genetik och växtfysiologi	genfys
380	330	BI0654	1	2006-02-28	Tillväxt och utveckling hos växter	Institutionen för skoglig genetik och växtfysiologi	genfys
381	330	BI0655	1	2006-02-28	Växtbioteknik och molekylär förädling	Institutionen för skoglig genetik och växtfysiologi	genfys
382	330	BI0656	1	2006-02-28	Växters cell- och molekylärbiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
383	670	BI0657	1	2006-02-10	Bioinformatik	Institutionen för husdjursgenetik	hgen
384	410	BI0658	1	2006-04-11	Europeisk fältkurs i miljövård (EFEES)	Institutionen för entomologi	entom
385	430	BI0659	1	2006-05-04	Vinodling	Institutionen för markvetenskap	mv
386	712	BI0660	1	2006-04-26	Grundkurs i galoppsport	Institutionen för anatomi, fysiologi och biokemi	afb
387	712	BI0661	1	2006-04-26	Hantering och utbildning av unghäst	Institutionen för anatomi, fysiologi och biokemi	afb
388	712	BI0662	1	2006-04-26	Körning	Institutionen för anatomi, fysiologi och biokemi	afb
389	880	BI0663	1	2006-04-20	Djurens utfodring	Institutionen för husdjurens miljö och hälsa	hmh
390	880	BI0664	1	2006-03-15	Djurhållning, djurhälsa och smittskydd	Institutionen för husdjurens miljö och hälsa	hmh
391	880	BI0665	1	2006-03-15	Genetik och avelsarbete	Institutionen för husdjurens miljö och hälsa	hmh
392	880	BI0666	1	2006-03-15	Människor och djurs interaktioner	Institutionen för husdjurens miljö och hälsa	hmh
393	650	BI0667	1	2006-06-02	Lantbrukets husdjur - översiktskurs på distans	Institutionen för husdjurens utfodring och vård	huv
394	880	BI0668	1	2006-05-22	Djurs fysiologi och funktion	Institutionen för husdjurens miljö och hälsa	hmh
395	633	BI0669	1	2006-06-01	Hortikulturell grundkurs med kemi	Hortikultur	ltv
396	633	BI0670	1	2006-06-01	Hortikulturell grundkurs	Hortikultur	ltv
397	510	BI0671	1	2006-08-31	Linnés värld från dagens perspektiv	Institutionen för ekonomi	ekon
398	712	BI0672	1	2006-04-26	Hantering och sadeltämjning av unghäst	Institutionen för anatomi, fysiologi och biokemi	afb
399	880	BI0673	1	2006-07-04	Etologi och genetik	Institutionen för husdjurens miljö och hälsa	hmh
400	500	BI0674	1	2008-08-17	Fältkurs i växtproduktion	Institutionen för växtproduktionsekologi	vpe
401	880	BI0675	1	2006-07-04	Försöksdjurens biologi och handhavande	Institutionen för husdjurens miljö och hälsa	hmh
402	880	BI0676	1	2006-07-04	Rehabilitering	Institutionen för husdjurens miljö och hälsa	hmh
403	330	BI0677	1	2006-10-25	Biologi och bioteknik för skogliga produktionssystem	Institutionen för skoglig genetik och växtfysiologi	genfys
404	330	BI0678	1	2006-10-25	Tillväxt och utveckling hos växter	Institutionen för skoglig genetik och växtfysiologi	genfys
405	330	BI0679	1	2006-10-25	Växtbioteknik och molekylär förädling	Institutionen för skoglig genetik och växtfysiologi	genfys
406	330	BI0680	1	2006-10-25	Växters cell- och molekylärbiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
407	251	BI0681	1	2006-10-25	Samhällsaspekter på nyttjandet av vilt- och fiskresursen	Institutionen för vilt, fisk och miljö	vfm
408	251	BI0682	1	2006-10-25	Tillämpad populationsekologi	Institutionen för vilt, fisk och miljö	vfm
409	251	BI0683	1	2006-10-25	Inventering av fisk- och viltpopulationer	Institutionen för vilt, fisk och miljö	vfm
410	251	BI0684	1	2006-10-25	Skötsel av vilt- och fiskbestånd	Institutionen för vilt, fisk och miljö	vfm
411	415	BI0685	1	2006-11-22	Ekologi	Institutionen för ekologi	ekol
412	415	BI0686	1	2006-10-25	Ekologisk botanik	Institutionen för ekologi	ekol
413	460	BI0687	1	2006-12-01	Mikrobiologi	Institutionen för mikrobiologi	mikrob
414	420	BI0688	1	2006-12-01	Proteinteknologi	Institutionen för molekylärbiologi	molbio
415	330	BI0689	1	2006-11-30	Cellbiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
416	330	BI0690	1	2006-11-30	Ekofysiologi	Institutionen för skoglig genetik och växtfysiologi	genfys
417	330	BI0691	1	2006-11-30	Trädets biologi och egenskaper	Institutionen för skoglig genetik och växtfysiologi	genfys
418	260	BI0692	1	2006-11-30	Miljöanalys B	Institutionen för skoglig resurshushållning	srh
419	241	BI0693	1	2006-11-30	Sverigeresan Norr	Institutionen för skogens ekologi och skötsel	seksko
420	251	BI0694	1	2006-11-30	Ekologi	Institutionen för vilt, fisk och miljö	vfm
421	241	BI0695	1	2006-11-30	Internationell skogsskötsel	Institutionen för skogens ekologi och skötsel	seksko
422	241	BI0696	1	2006-11-30	Skogens hälsa	Institutionen för skogens ekologi och skötsel	seksko
423	480	BI0697	1	2006-12-01	Allmän och molekylär genetik	Institutionen för växtbiologi	vbsg
424	480	BI0698	1	2006-12-01	Genteknik	Institutionen för växtbiologi	vbsg
425	480	BI0699	1	2006-12-01	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
426	460	BI0700	1	2006-11-30	Biokemi, mikrobiologi och cellbiologi	Institutionen för mikrobiologi	mikrob
427	330	BI0701	1	2006-11-30	Funktionsgenomik, teori	Institutionen för skoglig genetik och växtfysiologi	genfys
428	330	BI0702	1	2006-11-30	Tillämpad funktionsgenomik	Institutionen för skoglig genetik och växtfysiologi	genfys
429	241	BI0703	1	2006-11-30	Ekologi	Institutionen för skogens ekologi och skötsel	seksko
430	241	BI0704	1	2006-11-30	Fire Management I	Institutionen för skogens ekologi och skötsel	seksko
431	241	BI0705	1	2006-11-30	Fire Management II	Institutionen för skogens ekologi och skötsel	seksko
432	241	BI0706	1	2006-11-30	Vegetationsekologi	Institutionen för skogens ekologi och skötsel	seksko
433	712	BI0707	1	2006-12-01	Djurfysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
434	390	BI0708	1	2006-11-30	Markbiologi	Institutionen för skoglig mykologi och växtpatologi	mykopat
435	390	BI0709	1	2006-11-30	Växtpatologi och entomologi	Institutionen för skoglig mykologi och växtpatologi	mykopat
436	241	BI0710	1	2006-11-30	Skogshistoria	Institutionen för skogens ekologi och skötsel	seksko
437	295	BI0711	1	2006-11-30	Paleoekologi och vegetationshistoria i södra Skandinavien	Institutionen för sydsvensk skogsvetenskap	ess
438	480	BI0712	1	2006-11-30	Genetik	Institutionen för växtbiologi	vbsg
