Nr	Kurskod	Version	Kursplan sve	Kursplan sve_link0	Kursplan eng	Kursplan eng_link0	Json	Json_link0
67	BI0223	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0223&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0223&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0223&ver=1&sprak=sv
68	BI0224	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0224&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0224&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0224&ver=1&sprak=sv
69	BI0228	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0228&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0228&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0228&ver=1&sprak=sv
70	BI0239	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0239&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0239&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0239&ver=1&sprak=sv
71	BI0240	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0240&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0240&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0240&ver=1&sprak=sv
72	BI0241	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0241&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0241&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0241&ver=1&sprak=sv
73	BI0244	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0244&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0244&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0244&ver=1&sprak=sv
74	BI0245	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0245&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0245&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0245&ver=1&sprak=sv
75	BI0253	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0253&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0253&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0253&ver=1&sprak=sv
76	BI0257	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0257&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0257&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0257&ver=1&sprak=sv
77	BI0258	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0258&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0258&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0258&ver=1&sprak=sv
78	BI0259	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0259&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0259&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0259&ver=1&sprak=sv
