Programkod	Version	Giltig fr.o.m.	Program sve	Program sve_link0	Program eng	Program eng_link0
LM005	5	ht 2022	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=5&sprak=sv	Agroecology - Master´s Programme	utbildningsplan.cfm?programkod=LM005&ver=5&sprak=en
LM006	2	ht 2012	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=2&sprak=sv	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=2&sprak=en
LM006	3	ht 2016	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=3&sprak=sv	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=3&sprak=en
LM006	4	ht 2018	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=4&sprak=sv	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=4&sprak=en
LM006	5	ht 2019	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=5&sprak=sv	Landscape Architecture- Master´s Programme	utbildningsplan.cfm?programkod=LM006&ver=5&sprak=en
LM007	1	ht 2015	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=1&sprak=sv	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=1&sprak=en
LM007	2	ht 2019	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=2&sprak=sv	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=2&sprak=en
LM007	3	ht 2020	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=3&sprak=sv	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=3&sprak=en
LM007	4	ht 2022	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=4&sprak=sv	Outdoor Environments for Health and Well-being - Master´s Programme	utbildningsplan.cfm?programkod=LM007&ver=4&sprak=en
LM008	1	ht 2018	Horticultural Science - Master´s Programme	utbildningsplan.cfm?programkod=LM008&ver=1&sprak=sv	Horticultural Science - Master´s Programme	utbildningsplan.cfm?programkod=LM008&ver=1&sprak=en
LM008	2	ht 2019	Horticultural Science - Master´s Programme	utbildningsplan.cfm?programkod=LM008&ver=2&sprak=sv	Horticultural Science - Master´s Programme	utbildningsplan.cfm?programkod=LM008&ver=2&sprak=en
LM009	1	ht 2018	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=1&sprak=sv	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=1&sprak=en
LM009	2	ht 2019	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=2&sprak=sv	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=2&sprak=en
LM009	3	ht 2022	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=3&sprak=sv	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=3&sprak=en
LM009	4	ht 2022	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=4&sprak=sv	Landscape Architecture for Sustainable Urbanisation - Master´s Programme	utbildningsplan.cfm?programkod=LM009&ver=4&sprak=en
LM010	1	ht 2021	Food and Landscape	utbildningsplan.cfm?programkod=LM010&ver=1&sprak=sv	Food and Landscape	utbildningsplan.cfm?programkod=LM010&ver=1&sprak=en
LM010	2	ht 2022	Food and Landscape	utbildningsplan.cfm?programkod=LM010&ver=2&sprak=sv	Food and Landscape	utbildningsplan.cfm?programkod=LM010&ver=2&sprak=en
LY001	2	ht 2012	Landskapsingenjörsprogrammet - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=2&sprak=sv	Landscape Engineer Programme - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=2&sprak=en
LY001	3	ht 2015	Landskapsingenjörsprogrammet - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=3&sprak=sv	Landscape Engineer Programme - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=3&sprak=en
LY001	5	ht 2022	Landskapsingenjörsprogrammet - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=5&sprak=sv	Landscape Engineer Programme - Alnarp	utbildningsplan.cfm?programkod=LY001&ver=5&sprak=en
LY002	4	ht 2022	Landskapsarkitektprogrammet, Alnarp	utbildningsplan.cfm?programkod=LY002&ver=4&sprak=sv	Landscape Architecture Programme, Alnarp	utbildningsplan.cfm?programkod=LY002&ver=4&sprak=en
LY010	1	ht 2019	Landskapsingenjörsprogrammet - Uppsala	utbildningsplan.cfm?programkod=LY010&ver=1&sprak=sv	Landscape Engineer Programme - Uppsala	utbildningsplan.cfm?programkod=LY010&ver=1&sprak=en
LY010	2	ht 2022	Landskapsingenjörsprogrammet - Uppsala	utbildningsplan.cfm?programkod=LY010&ver=2&sprak=sv	Landscape Engineer Programme - Uppsala	utbildningsplan.cfm?programkod=LY010&ver=2&sprak=en
LY011	1	ht 2021	Trädgårdsingenjörsprogrammet – design	utbildningsplan.cfm?programkod=LY011&ver=1&sprak=sv	Syllabus for Horticultural Management – Garden Design (BSc)	utbildningsplan.cfm?programkod=LY011&ver=1&sprak=en
LY011	2	ht 2022	Trädgårdsingenjörsprogrammet – design	utbildningsplan.cfm?programkod=LY011&ver=2&sprak=sv	Syllabus for Horticultural Management – Garden Design (BSc)	utbildningsplan.cfm?programkod=LY011&ver=2&sprak=en
LY012	1	ht 2021	Trädgårdsingenjörsprogrammet – odling	utbildningsplan.cfm?programkod=LY012&ver=1&sprak=sv	Syllabus for Horticultural Management – Gardening and Horticultural Production (BSc)	utbildningsplan.cfm?programkod=LY012&ver=1&sprak=en
NG007	1	ht 2021	Livsmedelstillsyn - magisterprogram	utbildningsplan.cfm?programkod=NG007&ver=1&sprak=sv	Food Inspection - Master´s Programme (60 credits)	utbildningsplan.cfm?programkod=NG007&ver=1&sprak=en
NK001	1	ht 2007	Biologi och miljövetenskap - kandidatprogram	utbildningsplan.cfm?programkod=NK001&ver=1&sprak=sv	Biology and Environmental Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=NK001&ver=1&sprak=en
NK001	2	ht 2010	Biologi och miljövetenskap - kandidatprogram	utbildningsplan.cfm?programkod=NK001&ver=2&sprak=sv	Biology and Environmental Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=NK001&ver=2&sprak=en
NK001	3	ht 2012	Biologi och miljövetenskap - kandidatprogram	utbildningsplan.cfm?programkod=NK001&ver=3&sprak=sv	Biology and Environmental Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=NK001&ver=3&sprak=en
NK001	4	ht 2017	Biologi och miljövetenskap - kandidatprogram	utbildningsplan.cfm?programkod=NK001&ver=4&sprak=sv	Biology and Environmental Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=NK001&ver=4&sprak=en
NK001	5	ht 2018	Biologi och miljövetenskap - kandidatprogram	utbildningsplan.cfm?programkod=NK001&ver=5&sprak=sv	Biology and Environmental Science - Bachelor´s Programme	utbildningsplan.cfm?programkod=NK001&ver=5&sprak=en
